queried_airport,direction,icao24,callsign,dep_airport,arr_airport,firstSeen,lastSeen,home,other,ts,hour,al_icao,airline,lh_group,o_country,o_continent,reach,o_lat,o_lon,home_lat,home_lon,dist_km
EDDF,departure,3c4a08,DLH500,EDDF,SBGL,1787174238.0,1787214146,EDDF,SBGL,1787174238.0,23,DLH,Lufthansa,True,BR,SA,Intercontinental,-22.809999,-43.250557,50.026706,8.55835,9567.281187271963
EDDF,departure,3c658d,DLH9HC,EDDF,EDDP,1787174109.0,1787176841,EDDF,EDDP,1787174109.0,23,DLH,Lufthansa,True,DE,EU,Domestic,51.420657,12.232705,50.026706,8.55835,301.484335885831
EDDF,departure,3c6658,DLH9ML,EDDF,EPKK,1787173891.0,1787178007,EDDF,EPKK,1787173891.0,23,DLH,Lufthansa,True,PL,EU,Europe,50.077702,19.7848,50.026706,8.55835,800.8011485417
EDDF,departure,3c5423,BCS2WP,EDDF,EDDP,1787173811.0,1787177457,EDDF,EDDP,1787173811.0,23,BCS,European Air Transport,False,DE,EU,Domestic,51.420657,12.232705,50.026706,8.55835,301.484335885831
EDDF,departure,896210,UAE13U,EDDF,OMDB,1787173673.0,1787194817,EDDF,OMDB,1787173673.0,23,UAE,Emirates,False,AE,AS,Intercontinental,25.24979,55.370992,50.026706,8.55835,4844.5225736276
EDDF,departure,3c6654,DLH67K,EDDF,LEMD,1787173655.0,1787181321,EDDF,LEMD,1787173655.0,23,DLH,Lufthansa,True,ES,EU,Europe,40.493407,-3.572249,50.026706,8.55835,1419.5153635411198
EDDF,departure,3c6742,DLH2KK,EDDF,EDDM,1787173601.0,1787175772,EDDF,EDDM,1787173601.0,23,DLH,Lufthansa,True,DE,EU,Domestic,48.353802,11.7861,50.026706,8.55835,299.3253023081836
EDDF,departure,3c4a0f,DLH576,EDDF,FACT,1787173347.0,1787211701,EDDF,FACT,1787173347.0,23,DLH,Lufthansa,True,ZA,AF,Intercontinental,-33.97403,18.604333,50.026706,8.55835,9392.76029434846
EDDF,departure,3c658e,DLH2RV,EDDF,LDZA,1787173254.0,1787176885,EDDF,LDZA,1787173254.0,23,DLH,Lufthansa,True,HR,EU,Europe,45.742901,16.0688,50.026706,8.55835,734.5935005052726
EDDF,departure,040132,ETH707,EDDF,FKYS,1787173134.0,1787220324,EDDF,FKYS,1787173134.0,22,ETH,Ethiopian Airlines,False,CM,AF,Intercontinental,3.72256,11.5533,50.026706,8.55835,5156.497317256868
EDDF,departure,3c4b28,DLH506,EDDF,SBGR,1787173029.0,1787212499,EDDF,SBGR,1787173029.0,22,DLH,Lufthansa,True,BR,SA,Intercontinental,-23.431274,-46.469954,50.026706,8.55835,9796.47989691071
EDDF,departure,3c6917,CFG7KD,EDDF,LIMC,1787172970.0,1787177582,EDDF,LIMC,1787172970.0,22,CFG,Condor Flugdienst,False,IT,EU,Europe,45.6306,8.72811,50.026706,8.55835,488.98855027228177
EDDF,departure,440bc6,BCS9YP,EDDF,EBMB,1787172865.0,1787175642,EDDF,EBMB,1787172865.0,22,BCS,European Air Transport,False,BE,EU,Europe,50.913419,4.491005,50.026706,8.55835,304.2292270193259
EDDF,departure,a01b80,FDX36,EDDF,LFPG,1787172750.0,1787175990,EDDF,LFPG,1787172750.0,22,FDX,Federal Express,False,FR,EU,Europe,49.00896,2.554117,50.026706,8.55835,447.8305266654691
EDDF,departure,3c674f,DLH866,EDDF,ENGM,1787172603.0,1787178755,EDDF,ENGM,1787172603.0,22,DLH,Lufthansa,True,NO,EU,Europe,60.193901,11.1004,50.026706,8.55835,1141.8263314571998
EDDF,departure,3009b3,DLA8884,EDDF,LIPE,1787172536.0,1787176736,EDDF,LIPE,1787172536.0,22,DLA,Air Dolomiti,True,IT,EU,Europe,44.5354,11.2887,50.026706,8.55835,644.2894117734543
EDDF,departure,3c71a7,BCS830,EDDF,EDDP,1787172406.0,1787175690,EDDF,EDDP,1787172406.0,22,BCS,European Air Transport,False,DE,EU,Domestic,51.420657,12.232705,50.026706,8.55835,301.484335885831
EDDF,departure,3009b5,DLA3AE,EDDF,ELLX,1787172354.0,1787174116,EDDF,ELLX,1787172354.0,22,DLA,Air Dolomiti,True,LU,EU,Europe,49.626845,6.212134,50.026706,8.55835,174.064410926245
EDDF,departure,3c648b,DLH584,EDDF,HECA,1787172273.0,1787185828,EDDF,HECA,1787172273.0,22,DLH,Lufthansa,True,EG,AF,Intercontinental,30.111534,31.396694,50.026706,8.55835,2922.356297809829
EDDF,departure,3009b8,DLH3KX,EDDF,LSZM,1787172090.0,1787174260,EDDF,LSZM,1787172090.0,22,DLH,Lufthansa,True,CH,EU,Europe,47.078353,9.064662,50.026706,8.55835,329.9509076636581
EDDF,departure,3c6754,DLH5XY,EDDF,LKPR,1787172061.0,1787174597,EDDF,LKPR,1787172061.0,22,DLH,Lufthansa,True,CZ,EU,Europe,50.100874,14.259911,50.026706,8.55835,406.96118852195696
EDDF,departure,3c66ea,DLH6TJ,EDDF,LYBE,1787172030.0,1787176941,EDDF,LYBE,1787172030.0,22,DLH,Lufthansa,True,RS,EU,Europe,44.818401,20.309099,50.026706,8.55835,1054.9858217389628
EDDF,departure,3c6666,DLH1330,EDDF,,1787171966.0,1787183087,EDDF,,1787171966.0,22,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c6741,DLH7CE,EDDF,ESGG,1787171956.0,1787176084,EDDF,ESGG,1787171956.0,22,DLH,Lufthansa,True,SE,EU,Europe,57.6628,12.2798,50.026706,8.55835,883.1568466070247
EDDF,departure,3c65ce,DLH9KY,EDDF,EKCH,1787171855.0,1787175737,EDDF,EKCH,1787171855.0,22,DLH,Lufthansa,True,DK,EU,Europe,55.617900848389,12.656000137329,50.026706,8.55835,679.6633259560357
EDDF,departure,3c70cb,GEC8264,EDDF,SBKP,1787171825.0,1787213217,EDDF,SBKP,1787171825.0,22,GEC,Lufthansa Cargo,True,BR,SA,Intercontinental,-23.007404,-47.134502,50.026706,8.55835,9792.391837640691
EDDF,departure,3c4a8b,DLH780,EDDF,WSSS,1787171743.0,1787212404,EDDF,WSSS,1787171743.0,22,DLH,Lufthansa,True,SG,AS,Intercontinental,1.35019,103.994003,50.026706,8.55835,10280.1888371662
EDDF,departure,76cd71,SIA325,EDDF,WSAC,1787171594.0,1787213109,EDDF,WSAC,1787171594.0,22,SIA,Singapore Airlines,False,SG,AS,Intercontinental,1.3441400528,104.009002686,50.026706,8.55835,10281.773031162991
EDDF,departure,3c6445,DLH4KW,EDDF,EKBI,1787171551.0,1787175256,EDDF,EKBI,1787171551.0,22,DLH,Lufthansa,True,DK,EU,Europe,55.740335,9.157019,50.026706,8.55835,636.5886595105571
EDDF,departure,3c6757,DLH048,EDDF,EDDV,1787171470.0,1787173752,EDDF,EDDV,1787171470.0,22,DLH,Lufthansa,True,DE,EU,Domestic,52.461102,9.68508,50.026706,8.55835,281.8162021932354
EDDF,departure,3c4b2f,DLH572,EDDF,FAGM,1787171415.0,1787206376,EDDF,FAGM,1787171415.0,22,DLH,Lufthansa,True,ZA,AF,Intercontinental,-26.2425,28.151199,50.026706,8.55835,8698.69119392607
EDDF,departure,06a2f4,QTR072,EDDF,OTHH,1787171313.0,1787193083,EDDF,OTHH,1787171313.0,22,QTR,Qatar Airways,False,QA,AS,Intercontinental,25.273056,51.608056,50.026706,8.55835,4588.088807286664
EDDF,departure,e48baa,TAM8071,EDDF,SBGR,1787171231.0,1787213408,EDDF,SBGR,1787171231.0,22,TAM,TAM Brazilian Airlines,False,BR,SA,Intercontinental,-23.431274,-46.469954,50.026706,8.55835,9796.47989691071
EDDF,departure,3c6705,DLH732,EDDF,,1787171141.0,1787205204,EDDF,,1787171141.0,22,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c66eb,DLH5EL,EDDF,EGPH,1787170968.0,1787176600,EDDF,EGPH,1787170968.0,22,DLH,Lufthansa,True,GB,EU,Europe,55.950145,-3.372288,50.026706,8.55835,1032.73961083289
EDDF,departure,3c6449,DLH8YJ,EDDF,EDDN,1787170943.0,1787172241,EDDF,EDDN,1787170943.0,22,DLH,Lufthansa,True,DE,EU,Domestic,49.498699,11.078056,50.026706,8.55835,190.2564158127778
